"","values","ind"
"67","CGA","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"68","IFNA17","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"69","IFNA21","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"70","IFNA6","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"71","IFNA7","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"72","PRF1","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"73","IFNA8","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"74","IFNA10","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"75","IFNA13","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"76","IFNA14","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"77","GZMB","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"78","IFNA16","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"79","TPO","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"80","IL10","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"81","CTLA4","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"82","HLA-DRB4","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"83","HLA-DRB5","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"84","HLA-DRB3","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"85","LOC652614","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"86","HLA-F","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"87","HLA-E","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"88","IL2","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"89","CD40LG","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"90","HLA-DPA1","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"91","CD40","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"92","HLA-DPB1","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"93","HLA-DQA1","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"94","HLA-DQA2","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"95","HLA-DQB1","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"96","FAS","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"97","FASLG","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"98","IL4","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"99","IL5","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"100","HLA-DRB1","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"101","HLA-DRA","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"102","TANK","REACTOME_INNATE_IMMUNE_SYSTEM"
"103","TLR6","REACTOME_INNATE_IMMUNE_SYSTEM"
"104","NOD1","REACTOME_INNATE_IMMUNE_SYSTEM"
"105","TAB1","REACTOME_INNATE_IMMUNE_SYSTEM"
"106","TXNIP","REACTOME_INNATE_IMMUNE_SYSTEM"
"107","CNPY3","REACTOME_INNATE_IMMUNE_SYSTEM"
"108","MASP2","REACTOME_INNATE_IMMUNE_SYSTEM"
"109","CFHR3","REACTOME_INNATE_IMMUNE_SYSTEM"
"110","RIPK3","REACTOME_INNATE_IMMUNE_SYSTEM"
"111","IRAK3","REACTOME_INNATE_IMMUNE_SYSTEM"
"112","NLRP3","REACTOME_INNATE_IMMUNE_SYSTEM"
"113","TIRAP","REACTOME_INNATE_IMMUNE_SYSTEM"
"114","CHUK","REACTOME_INNATE_IMMUNE_SYSTEM"
"115","DEFB118","REACTOME_INNATE_IMMUNE_SYSTEM"
"116","CCR2","REACTOME_INNATE_IMMUNE_SYSTEM"
