"","values","ind"
"1248","ATG12","REACTOME_IMMUNE_SYSTEM"
"1249","CD3D","REACTOME_IMMUNE_SYSTEM"
"1250","CD3E","REACTOME_IMMUNE_SYSTEM"
"1251","CD3G","REACTOME_IMMUNE_SYSTEM"
"1252","CD247","REACTOME_IMMUNE_SYSTEM"
"1253","CD4","REACTOME_IMMUNE_SYSTEM"
"1254","SPSB4","REACTOME_IMMUNE_SYSTEM"
"1255","UBE2L6","REACTOME_IMMUNE_SYSTEM"
"1256","CD8A","REACTOME_IMMUNE_SYSTEM"
"1257","RPS6KA5","REACTOME_IMMUNE_SYSTEM"
"1258","ASB16","REACTOME_IMMUNE_SYSTEM"
"1259","CD8B","REACTOME_IMMUNE_SYSTEM"
"1260","MAPKAPK2","REACTOME_IMMUNE_SYSTEM"
"1261","CD14","REACTOME_IMMUNE_SYSTEM"
"1262","UBE2Q2","REACTOME_IMMUNE_SYSTEM"
"1263","CD19","REACTOME_IMMUNE_SYSTEM"
"1264","TRIP12","REACTOME_IMMUNE_SYSTEM"
"1265","UBE4A","REACTOME_IMMUNE_SYSTEM"
"1266","FBXO44","REACTOME_IMMUNE_SYSTEM"
"1267","KIF3B","REACTOME_IMMUNE_SYSTEM"
"1268","CD28","REACTOME_IMMUNE_SYSTEM"
"1269","GRAP2","REACTOME_IMMUNE_SYSTEM"
"1270","CD80","REACTOME_IMMUNE_SYSTEM"
"1271","CD86","REACTOME_IMMUNE_SYSTEM"
"1272","AIM2","REACTOME_IMMUNE_SYSTEM"
"1273","LY86","REACTOME_IMMUNE_SYSTEM"
"1274","CD34","REACTOME_IMMUNE_SYSTEM"
"1275","EIF4E2","REACTOME_IMMUNE_SYSTEM"
"1276","ATG5","REACTOME_IMMUNE_SYSTEM"
"1277","CD36","REACTOME_IMMUNE_SYSTEM"
"1278","PSMF1","REACTOME_IMMUNE_SYSTEM"
"1279","KIF23","REACTOME_IMMUNE_SYSTEM"
"1280","NPEPPS","REACTOME_IMMUNE_SYSTEM"
"1281","CD40","REACTOME_IMMUNE_SYSTEM"
"1282","CD40LG","REACTOME_IMMUNE_SYSTEM"
"1283","CD44","REACTOME_IMMUNE_SYSTEM"
"1284","NUP155","REACTOME_IMMUNE_SYSTEM"
"1285","SEC24C","REACTOME_IMMUNE_SYSTEM"
"1286","ISG15","REACTOME_IMMUNE_SYSTEM"
"1287","IKBKE","REACTOME_IMMUNE_SYSTEM"
"1288","DZIP3","REACTOME_IMMUNE_SYSTEM"
"1289","NUP93","REACTOME_IMMUNE_SYSTEM"
"1290","UBE3C","REACTOME_IMMUNE_SYSTEM"
"1291","CD74","REACTOME_IMMUNE_SYSTEM"
"1292","CD79A","REACTOME_IMMUNE_SYSTEM"
"1293","VPRBP","REACTOME_IMMUNE_SYSTEM"
"1294","CD79B","REACTOME_IMMUNE_SYSTEM"
"1295","CD81","REACTOME_IMMUNE_SYSTEM"
"1296","EIF4A3","REACTOME_IMMUNE_SYSTEM"
"1297","KEAP1","REACTOME_IMMUNE_SYSTEM"
"1298","NUPL1","REACTOME_IMMUNE_SYSTEM"
"1299","CUL7","REACTOME_IMMUNE_SYSTEM"
"1300","CDK1","REACTOME_IMMUNE_SYSTEM"
"1301","GAB2","REACTOME_IMMUNE_SYSTEM"
"1302","PSMD6","REACTOME_IMMUNE_SYSTEM"
"1303","PJA2","REACTOME_IMMUNE_SYSTEM"
"1304","SEC24D","REACTOME_IMMUNE_SYSTEM"
"1305","POM121","REACTOME_IMMUNE_SYSTEM"
"1306","MRC2","REACTOME_IMMUNE_SYSTEM"
"1307","CDC20","REACTOME_IMMUNE_SYSTEM"
"1308","CDC27","REACTOME_IMMUNE_SYSTEM"
"1309","CDC34","REACTOME_IMMUNE_SYSTEM"
"1310","NUP153","REACTOME_IMMUNE_SYSTEM"
"1311","RBX1","REACTOME_IMMUNE_SYSTEM"
"1312","CDC42","REACTOME_IMMUNE_SYSTEM"
"1313","CDH1","REACTOME_IMMUNE_SYSTEM"
"1314","AKT3","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1315","AP1M2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1316","UBA2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1317","SAE1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1318","HUWE1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1319","KIF20A","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1320","ACTR1B","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1321","ACTR1A","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1322","RASGRP1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1323","RNF41","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1324","PSMD14","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1325","CD96","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1326","RASGRP2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1327","CDKN1A","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1328","CDKN1B","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1329","STUB1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1330","LILRB2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1331","ANAPC10","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1332","RAPGEF3","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1333","ARIH2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1334","SEC24B","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1335","UBE2E3","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1336","SEC23A","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1337","LRRC41","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1338","ATG7","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1339","DCTN2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1340","RBCK1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1341","CD226","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1342","DCTN6","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1343","CTSC","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1344","LILRB1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1345","HCST","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1346","MALT1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1347","SEC61B","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1348","LILRB5","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1349","KIF2C","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1350","LILRB4","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1351","LILRA1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1352","LILRB3","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1353","WWP1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1354","UBE2C","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1355","RAPGEF4","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1356","CD160","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1357","DCTN3","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1358","TRIM9","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1359","CHUK","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1360","OSBPL1A","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1361","FBXO17","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1362","THEM4","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1363","AP2M1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1364","AP1S1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1365","AP2S1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1366","UBE2J2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1367","PIK3AP1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1368","AMICA1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1369","CLTA","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1370","CLTC","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1371","LRR1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1372","FBXO27","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1373","ASB17","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1374","CD200R1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1375","MAP3K8","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1376","RAET1E","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1377","CREB1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1378","ASB11","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1379","ASB5","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1380","ASB6","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1381","ASB7","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1382","ASB8","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1383","ASB9","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1384","DYNLL2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1385","UBE2F","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1386","ASB15","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1387","ASB12","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1388","PSMA8","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1389","CSK","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1390","KLC3","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1391","UBE2U","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1392","CTLA4","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1393","CTSB","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1394","CTSD","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1395","CTSH","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1396","CTSK","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1397","CTSL1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1398","CTSL2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1399","DTX3L","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1400","BTLA","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1401","CTSO","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1402","CTSS","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1403","CXADR","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1404","CYBA","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1405","CYBB","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1406","AP2A1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1407","AP2A2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1408","AP1B1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1409","AP2B1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1410","DCTN1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1411","AP1G1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1412","DNM1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1413","DYNC1H1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1414","DYNC1I1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1415","DYNC1I2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1416","DYNC1LI2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1417","DNM2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1418","UBR1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1419","AKT1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1420","AKT2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1421","FCGR1A","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1422","FCGR1B","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1423","FCGR2B","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1424","FCGR3A","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1425","RNF182","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1426","SEC31A","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1427","UBOX5","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1428","KLRK1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1429","KIFAP3","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1430","TRIM32","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1431","FOXO1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1432","FOXO3","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1433","RAP1GAP2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1434","TAB2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1435","PSME4","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1436","PHLPP1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1437","FBXW11","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1438","UBR2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1439","ICOSLG","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1440","UBR4","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1441","SEC61G","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1442","MKRN1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1443","KIF4A","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1444","CDC26","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1445","MTOR","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1446","RICTOR","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1447","FYB","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1448","FYN","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1449","RNF144B","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1450","RASGRP3","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1451","ANAPC13","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1452","RCHY1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1453","WSB1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1454","KIF26A","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1455","FBXO2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1456","FBXW8","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1457","FBXO6","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1458","FBXO4","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1459","FBXO3","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1460","LAT","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1461","KLHL20","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1462","UBE2S","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1463","KIF4B","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1464","GRB2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1465","CD274","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1466","RACGAP1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1467","PDIA3","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1468","GSK3A","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1469","BLNK","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1470","ICOS","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1471","ANAPC2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1472","SEC61A1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1473","ANAPC4","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1474","SH3KBP1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1475","UBE2K","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1476","HLA-A","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1477","HLA-B","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1478","HLA-C","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1479","HLA-DMA","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1480","HLA-DMB","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1481","HLA-DOA","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1482","HLA-DOB","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1483","HLA-DPA1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1484","HLA-DPB1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1485","HLA-DQA1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1486","HLA-DQA2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1487","HLA-DRB1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1488","HLA-DRB3","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1489","HLA-DRB5","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1490","HLA-F","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1491","HLA-G","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1492","NR4A1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1493","HRAS","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1494","HSPA5","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1495","ICAM1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1496","ICAM2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1497","ICAM3","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1498","ICAM4","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1499","IKBKB","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1500","ITGAL","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1501","ITGAV","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1502","ITGB1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1503","ITGB2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1504","ITGB5","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1505","ITGB7","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1506","ITK","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1507","ITPR2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1508","ITPR3","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1509","ARF1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1510","KIF2A","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1511","KIF3C","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1512","KIF5A","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1513","KIF5B","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1514","KIR2DL1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1515","KIR2DL2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1516","KIR2DL3","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1517","KIR2DL4","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1518","KIR2DS1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1519","KIR2DS2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1520","KIR3DL1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1521","KIR3DL2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1522","KLRC1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1523","KLRD1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1524","KLC1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1525","KIF11","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1526","KIF22","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1527","KRAS","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1528","TMEM189-UBE2V1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1529","LCK","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1530","LCP2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1531","LNPEP","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1532","LYN","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1533","MDM2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1534","FOXO4","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1535","MRC1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1536","TRIM37","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1537","NCF2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1538","NCF4","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1539","NCK1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1540","NEDD4","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1541","NFKBIA","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1542","NFKBIB","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1543","NFKBIE","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1544","NRAS","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1545","CD207","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1546","PAK1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1547","PAK2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1548","PARK2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1549","TRAT1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1550","SAR1B","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1551","ASB3","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1552","DCTN4","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1553","PDCD1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1554","ANAPC5","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1555","ANAPC7","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1556","RNF138","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1557","UBE2J1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1558","EVL","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1559","ANAPC11","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1560","UBE2D4","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1561","DYNC2LI1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1562","ASB1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1563","ASB4","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1564","ASB2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1565","PDPK1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1566","ERAP1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1567","PIK3CA","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1568","PIK3CB","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1569","PIK3CD","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1570","PIK3R1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1571","PIK3R2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1572","PLCG1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1573","PLCG2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1574","CTSA","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1575","UBE2R2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1576","DET1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1577","PPP2CA","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1578","PPP2CB","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1579","SEC61A2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1580","PPP2R1A","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1581","RNF220","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1582","PPP2R1B","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1583","UBA6","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1584","PPP2R5A","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1585","PPP2R5B","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1586","PPP2R5C","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1587","PPP2R5D","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1588","UBE2W","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1589","PPP2R5E","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1590","FBXW7","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1591","TRIM36","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1592","UBE2Q1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1593","PRKACA","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1594","PRKACB","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1595","PRKACG","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1596","ENAH","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1597","PRKCB","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1598","PAG1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1599","PRKCQ","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1600","PRKG1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1601","KLHL9","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1602","CRTAM","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1603","LGMN","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1604","B2M","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1605","PSMA1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1606","PSMA2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1607","PSMA3","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1608","PSMA4","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1609","PSMA5","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1610","PSMA6","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1611","PSMA7","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"1612","PSMB1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
