"","DCIS.15T","DCIS.166T","DCIS.178T","DCIS.17T","DCIS.18T","DCIS.274T","DCIS.280T","DCIS.307T","DCIS.320T","DCIS.322T","DCIS.336T","IDC.127T","IDC.180T.HER2.","IDC.192T.HER2.","IDC.229T.HER2.","IDC.249T.TN","IDC.251T.TN","IDC.255T.TN","IDC.340T.TN","IDC.97T","IDC.242T","IDC.256T","N113OT","N113ST","N166OT","N166ST","N169OT","N169ST","N170OT","N170ST","N215OT","N215ST","N250OT","N250ST","N253OT","N253ST","N256ST.BRCA1","N261ST.BRCA1","N335ST.BRCA2","N352ST.BRCA1","N353ST.BRCA2"
"AAK1",36,16,20,40,59,62,135,0,2,4,45,38,47,209,180,2,1164,0,538,26,16,4,13,27,46,25,16,18,9,47,33,19,17,331,65,167,61,13230,533,67,359
"AAMDC",2,10,0,5,0,0,28,0,0,99,0,0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,8,1,4
"AAMP",12,19,304,12,25,420,325,1,4,514,1,1,8,23,7,0,2,0,2,12,75,1091,3,24,14,17,126,32,46,270,43,1,179,100,0,148,5,25,22,20,73
"AANAT",7,3,3,28,212,0,1,0,0,0,0,3,0,1,0,0,0,0,0,4,2,4,1,6,0,0,92,40,0,1,1,0,1,172,1,940,0,0,12,0,0
"AAR2",25,4,74,52,22,0,12,0,0,0,411,294,8,24,5,0,2,1,0,493,2,12,3,2,2,2,49,4,32,17,178,2,2,45,4,2,1,4,0,20,24
"AARD",2,7,34,28,73,5,2,0,0,0,0,98,0,0,0,0,0,0,0,0,2,9,21,35,1,22,16,81,7,0,16,3,3,134,46,20,0,0,0,0,0
"AARS",79,22,835,9,24,0,94,1,1,0,1,21,15,20,9,0,0,18,72,17,84,2,12,0,12,328,251,1130,176,2,601,6,333,18,1,52,32,31,266,56,65
"AARS2",79,13,61,22,38,0,780,0,0,0,4,22,1,1,3,2,0,0,0,1,0,0,1,122,2,1,4,21,55,17,5,1,34,1,48,4,11,36,44,77,1
"AARSD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AASDH",8,82,5,3,3,1,1,0,1,0,0,5,0,14,144,0,5,0,0,1,0,0,1,56,1,1,1,1,0,1,1,0,0,2,20,5,4,5,0,0,54
"AASDHPPT",0,4,0,0,52,0,55,0,0,0,0,1,33,81,55,0,2,0,0,1,10,0,0,0,0,0,0,1,0,0,0,0,0,4,0,4,17,0,47,4,215
"AASS",11,0,34,18,14,5,1,0,0,0,0,15,0,5,1,0,0,0,0,246,10,2,2,1,0,1,1,2,0,22,0,1,173,0,0,0,8,784,7,3,4
"AATBC",32,27,220,71,17,0,0,0,0,0,0,46,1,78,0,0,0,0,0,3,187,1,2,1,2,43,6,249,0,65,2,3,0,1,2,473,0,0,10,0,0
"AATF",1,1,2,23,10,134,959,3,534,0,1,38,17,69,19,0,0,1,1,1,7,0,167,0,9,15,4,11,8,18,1,1,24,24,0,8,6,18,19,29,36
"AATK",165,63,138,56,174,1,8,0,0,0,0,153,0,0,0,1,2,1,3,11,386,17,83,40,109,152,50,228,89,291,66,66,21,482,27,179,2,0,2,14,0
"AATK-AS1",81,15,31,8,23,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,11,3,7,13,30,12,25,9,1,38,3,196,17,18,18,0,0,0,0,0
"ABALON",1,3,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,2,0,0,0,0,2,2
"ABAT",144,36,6,191,23,3,10459,0,0,0,1,5,0,1,2,0,0,0,1,7,2,35,0,3,2,104,1,73,6,15,6,3,144,27,236,107,8,6,6,15,1
"ABCA1",212,75,195,79,53,0,2,3042,0,0,7,26,78,14,4,0,7,0,1,95,141,5,2,2,38,26,165,13,148,16,1,6,5,9,5,8,1,21,7,96,198
"ABCA10",119,8,24,0,14,8,0,0,0,0,0,5,0,1,0,0,3,0,0,11,4,0,19,4,2,30,6,6,25,16,16,1,3,0,1,28,0,331,0,1092,81
"ABCA11P",60,6,1,1,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0
"ABCA12",289,113,128,19,65,346,0,0,0,0,0,74,0,0,0,0,0,0,0,31,66,15,157,1,153,30,69,61,67,26,65,283,15,562,8,35,0,0,0,9,0
"ABCA13",49,117,43,44,140,98,0,0,3,0,0,39,1,1,2,0,0,1,0,2601,61,197,3,19,28,625,47,43,54,95,63,5,118,9,23,205,0,1,0,3,0
"ABCA17P",36,5,122,3,12,0,34,0,0,0,0,8,0,0,0,0,0,0,0,32,5,4,7,3,5,22,4,13,5,1,4,3,78,11,14,1,0,0,1,6,0
"ABCA2",357,3489,1374,285,251,3,94,1,0,182,0,6639,3,9,5,1,3,0,106,769,126,51,75,230,958,1465,84,455,137,313,521,1451,226,238,191,103,87,19,423,3,1
"ABCA3",216,35,532,54,2751,0,4,0,0,30,0,179,0,11,3,0,6,1,1,80,570,72,49,6,74,98,27,114,1032,18,52,20,6,88,22,25,2,1,6,8,1
"ABCA4",47,140,91,166,277,1,1458,0,0,0,0,58,1,0,0,0,0,0,1,620,104,48,21,17,357,10,121,46,58,987,49,11,11,22,17,14,0,0,0,4,0
"ABCA5",1,2,8,6,6,1,1,4,310,0,5,5,0,113,49,0,0,0,8,0,12,173,0,2,2,46,0,5,41,0,12,0,11,3,0,2,30,26,0,109,11
"ABCA6",13,4,5,1,1,1,9,0,0,0,0,31,0,0,0,0,0,0,0,0,26,1,0,0,2,1,1,1,0,5,0,3,0,77,1,11,0,10,0,1,32
"ABCA7",174,208,368,324,410,3,1829,0,5,1,4,82,0,7,8,1,14,1,7,111,55,37,664,48,8894,99,72,168,11729,162,661,30,75,297,1734,162,21,249,54,2031,27
"ABCA8",16,1,2,48,8,80,12,0,1227,0,0,5,0,2,0,0,1,1,0,1,45,0,3,9,1,0,0,1,0,125,5,7,1,10,1,3,0,0,0,0,0
"ABCA9",11860,4,0,180,3095,1,0,0,1,0,0,8,0,0,0,0,0,0,0,0,1,7,46,14,3,3,1,2,1,5,1,0,3,5,0,4,0,9,6,7,25
"ABCA9-AS1",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,4,5,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0
"ABCB1",54,16,3,10,5,69,502,0,0,1,2,4,19,13,65,0,17,0,0,12,43,254,500,399,700,9,81,59,3391,38,2,1,47,36,266,25,33,38,47,362,223
"ABCB10",4,12,4,12,78,15,2,0,1,1,0,0,2,16,20,1,1,182,0,3,2,16,17,0,1,2,35,4,5,30,11,1,2,64,2,6,0,5,0,1,0
"ABCB11",35,5,15,3,5,13,0,0,0,0,0,164,0,0,0,0,0,0,0,0,89,0,6,6,1,2,3,9,2,7,8,2,1,877,0,2,0,0,0,1,0
"ABCB4",37,3,2,114,230,96,0,0,0,0,0,8,0,5,0,0,0,0,1,97,11,1,1,3,71,14,10,12,14,27,3,4,2,156,0,3,0,1,0,2,0
"ABCB5",8,11,21,2,13,1585,1,0,0,4,1,2,0,0,0,0,0,0,0,2,14,2,4,56,2,8,0,0,1,5,7,0,0,20,0,780,0,0,0,2,0
"ABCB6",48,28,28,100,19,0,0,0,0,0,1,123,5,4,0,1,1,1,0,16,1,12,92,3,23,17,8,40,212,67,12,62,986,2,5,5,0,1,30,4,1
