"","DCIS.15T","DCIS.166T","DCIS.178T","DCIS.17T","DCIS.18T","DCIS.274T","DCIS.280T","DCIS.307T","DCIS.320T","DCIS.322T","DCIS.336T","IDC.127T","IDC.180T.HER2.","IDC.192T.HER2.","IDC.229T.HER2.","IDC.249T.TN","IDC.251T.TN","IDC.255T.TN","IDC.340T.TN","IDC.97T","IDC.242T","IDC.256T","N113OT","N113ST","N166OT","N166ST","N169OT","N169ST","N170OT","N170ST","N215OT","N215ST","N250OT","N250ST","N253OT","N253ST","N256ST.BRCA1","N261ST.BRCA1","N335ST.BRCA2","N352ST.BRCA1","N353ST.BRCA2"
"CSGALNACT2",7,0,48,11,11,35,39,3,25,213,1272,1,198,126,90,26,235,30,2,0,14,5,47,0,1,5,5,7,2,1625,0,3,10,29,39,1589,171,28,1162,132,848
"CSH1",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,30,4,1760,0,0,0,0,0
"CSH2",0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,383,4,1731,0,0,0,0,0
"CSHL1",1,0,0,5,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,12,0,0,0,0,1,0,1,0,0,0,0,0
"CSK",55,552,34,136,67,742,1141,0,0,1,12,36,11,99,23,0,16,0,1,4719,49,101,556,269,125,194,181,201,84,53,11,47,75,22,60,7988,1,407,2,6,56
"CSMD1",321,41,101,177,853,0,6,0,0,0,1,98,0,0,4,0,1,0,0,71,177,50,12,34,135,122,3,253,493,58,218,15,17,679,91,10,0,1,0,116,0
"CSMD2",396,161,616,629,299,8,2171,0,1,0,0,115,0,0,0,0,0,25,2,616,1641,369,1639,2411,735,3170,219,318,775,123,3069,49,69,1709,160,352,0,0,1,5,1
"CSMD2-AS1",0,4,2,1,3,1373,838,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"CSMD3",26,294,68,126,74,100,12,0,0,0,0,35,0,1,0,0,2,0,7,6,33,44,153,40,644,36,21,22,4,177,6,6,31,179,12,281,0,4,2,57,1
"CSN1S1",0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"CSN1S2AP",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSN1S2BP",1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CSN2",4,1,0,51,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSN3",5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0
"CSNK1A1",1754,92,230,31,11,588,543,132,0,161,132,20,209,679,172,0,1834,0,15,4,9,9,105,77,42,233,268,24,28,70,19,13,46,202,13,51,347,128,5953,2467,1117
"CSNK1A1L",2,0,4,20,18,0,1,0,0,0,1,4,0,0,0,0,7,0,0,24,32,1,0,1,1,2,10,1,4,1,1,1,1,1,0,24,0,0,0,0,1
"CSNK1A1P1",50,12,14,20,29,0,1,0,0,0,0,12,0,0,0,0,0,0,1,2,0,2,6,11,43,1547,10,163,5,8,26,4,0,0,248,60,0,0,1,0,0
"CSNK1D",140,48,1048,4643,89,110,14610,3,65460,37,17019,40,24,62,15,1,60,1581,2,18,3,13,195,3494,110,10,11,564,214,73,35,55,144,7,11,23,72,256,276,1472,105
"CSNK1E",8,0,6,12,9,1,1,4,0,0,0,9,0,1,3,5,5,2,8,1,5,3,3,1,14,5,5,49,2,5,2,3,7,2,11,5,3,1,5,5,1
"CSNK1G1",21,2,41,31,36,8,66,177,9,2,2,26,46,21,40,0,0,1,0,1,198,19,77,11,1,4,6,1,2,29,3,2,29,84,5,371,26,51,9148,3301,363
"CSNK1G2",114,275,74,144,40,132,2023,2062,10,69,121,53,7,19,34,7,1,1,262,68,110,33,450,7,41,41,18,27,40,271,351,29,2,22,326,145,48,3058,708,645,47
"CSNK1G2-AS1",13,3,4,213,22,0,1,0,0,0,0,4,0,0,0,0,6,0,0,1,13,0,2,1,2,3,0,0,0,63,53701,179,0,2,0,4,0,0,0,0,0
"CSNK1G3",138,98,124,15,10351,14,91,955,298,124,8,37,110,881,437,55,15353,25,29,149,5,1,44,1,232,24,17,14,172,79,20,18,6,25,79,71,549,117,857,166,659
"CSNK2A1",17,0,4,3,5,223,9,0,0,0,13,3,5,33,14,1,14,2,148,3,44,0,3,2,0,0,1352,4,5,18,0,0,2,6,1,336,10,21,6,82,49
"CSNK2A2",5,1,6,36,12,59,1716,0,1,0,0,63,1,12,18,0,4,1,5,0,3,6,0,4,9,2,6,7,2,0,15,1,3590,835,3,36,2,20,5,7,29
"CSNK2A3",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,1
"CSNK2B",0,0,0,0,0,248,1493,0,1,0,255,0,4,8,12,0,0,0,2,0,19,0,1,11,0,0,39,17,0,0,0,0,10,131,0,133,1,1,1,38,23
"CSPG4",87,125,53,36,343,1,26,0,0,0,0,73,0,2,0,0,0,0,0,8,60,10,21,31,46,734,142,210,36,74,36,16,20,5,4,84,0,0,0,3,19
"CSPG4P1Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSPG5",14,7,26,24,17,0,1,0,26,0,2,17,14,0,1,4,9,4,25,121,50,134,822,3,59,7,2,4,5,12,248,6,11,10,24,11,4,7,8,2,34
"CSPP1",8,4,355,39,12,1,53,0,9,25,303,102,32,72,41,0,5,15,323,2,3,1,492,3,1,6,0,4,32,7,1,1,88,225,2,6,22,43,98,46,222
"CSRNP1",24,13,7,152,42,7524,1380,235650,38390,52,73,7,123,272,80,32,5183,2,315,15,68,180,748,34,11,26,923,16,633,130,69,4,19,7,270,4290,143,4166,6162,254,520
"CSRNP2",190,4,16,39,16,40,202,1,20,4,46,29,58,26,34,0,239,12407,24,11,23,5,3,1,13,7,14,4,4,10,4,4,5,71,0,2,61,302,115,24,218
"CSRNP3",64,35,4,4,13,5,0,0,0,0,0,17,0,0,0,0,0,0,0,17,10,2,3,3,0,6,0,26,6,2,3,0,7,114,0,0,0,0,0,4,0
"CSRP1",32,6,11,465,24,19,76,0,0,0,0,30,28,15,26,0,1,0,0,2,18,4,2,33,8,2,4,16,259,17,0,2,241,1,16,247,17,149,6,11,90
"CSRP2",60,0,0,4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,61,2,0,0,0,0,1,1,1,0,0,32,0,51,25
"CSRP2BP",6,1,3,23,3,0,2,0,0,0,0,0,0,5,5,0,0,0,0,1,16,2,1,0,1,2,0,2,1,0,13,10,1,52,78,92,0,0,0,1,0
"CSRP3",39,1,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,2,0
"CST1",2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"CST11",98,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,27,0,1,6,0,935,42,0,0,0,0,0,0,0
"CST13P",1,4,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0
"CST2",0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,2,1,3,0,0,0,471,1270,0,0,0,0,0,8,0
"CST3",3,3,26,19,15,75,32,0,0,0,1,10,72,11,9,0,6,0,0,2,12,8,42,2,57,2607,3,5,25,10,1,152,5,15,19,20,0,3,269,10,30
"CST4",0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,3,0,5,659,4,1,13,13,16,0,0,0,0,0,0
"CST5",1,4,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,5,0,1,0,0,2,0,0,0,0,0
"CST6",388,11,89,12,61,0,0,0,0,0,0,8,0,0,1,0,0,0,0,993,2,0,201,4,352,1,63,430,144,86,85,121,331,63,0,1,0,0,0,0,0
"CST7",7,32,110,89,11,1227,1371,0,27,0,28,0,4,25,30,0,0,0,0,0,98,3,2,0,1,120,1419,10,0,233,1,0,9,4,345,262,64,186,5,201,28
"CST8",1,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,52,7,19,0,0,0,0,31,0,0,0,0,0,0,0,0,0,13,0
"CST9",29,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,3,1,0,1,0,1,0,1,16,0,6,1,0,0,0,0,0,0,0,0,0
"CST9L",3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,196,5,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0
"CSTA",0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0
"CSTB",458,24,202,117,41,7,178,0,0,0,11,15,35,30,104,0,0,4,1,0,2,3,8,27,187,25,48,84,42,29,40,15,14,1382,36,11,406,38,7,116,59
"CSTF1",4,6,10,26,7,0,47,0,0,0,0,19,26,42,9,0,3,0,0,1,3,122,5,125,2,2,1,153,10,0,5,1,4,14,1,42,0,6,10,30,42
"CSTF2",12,2,16,2,2,0,2,0,0,14,1,55,4,6,5,0,0,0,0,1,0,0,1,0,1,2,0,0,4,0,0,0,0,33,0,1,0,13,2,7,0
"CSTF2T",2,0,22,0,1,10,1,3,0,0,0,106,5,6,17,0,0,1,0,0,1,0,0,2,0,2,0,0,30,0,0,0,1,1,0,0,1,1,2,0,38
"CSTF3",0,7,145,4,0,0,0,0,0,0,0,1,10,23,37,0,0,0,0,22,2,1,15,1,25,14,0,0,2,346,4119,4,0,62,1,13,2,2,26,0,11
"CSTF3-AS1",3,1,5,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,5,28,1,0,0,0,43,2,0,0,0,1,0
"CSTL1",48,0,163,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,232,0,2,0,0,0,2,0,0,0,0,0
"CT45A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"CT45A10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT45A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT45A3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT45A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT45A5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT45A6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT45A7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT45A8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT45A9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT47A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT47A10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT47A11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT47A12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT47A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT47A3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT47A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT47A5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT47A6",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT47A7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT47A8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT47A9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT47B1",4,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,80,3,1,13,1,0,1,13,8,5,0,0,0,53,1,0,0,0,0,0
"CT55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,1,0,1,1,0,7,1,0,0,0,87,0,1,2,0,0,0,0,0
"CT62",1,0,52,35,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,65,2,4,4,0,2,17,2,0,13,35,1,1,26,0,1,0,0,0,0,0,0
"CT83",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"CTAG1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CTAG1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CTAG2",0,1,0,3,7,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"CTAGE1",1,0,2,1,3,0,4,0,0,0,0,1,0,0,0,0,0,0,0,22,1,0,0,0,0,12,1,3,1,1,0,0,1,5,59,3,0,0,0,0,2
"CTAGE10P",6,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,61,0,0,0,0,0,4,1,0,0,0,0,0,1126,2,0,0,0,0,0
"CTAGE11P",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"CTAGE15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"CTAGE4",0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CTAGE5",2,0,1,8,3,0,3,0,0,0,9,4,36,406,143,1,0,0,0,4,4,3,2,0,2,2,4,1,32,3,4,0,1,2,0,14,1,14,6,6,178
"CTAGE6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CTAGE7P",1,207,1,5,2,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,8,2,0,0,0,2,92,2,0,3,0,9,0,0,0,0,0,7,0,0
"CTAGE8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CTAGE9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CTB-113P19.1",458,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,1,0,2,0,1,2,2,0,0,0,812,0,0,0,0,12,0,0,0
"CTB-12O2.1",0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CTB-178M22.2",0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
"CTB-7E3.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CTBP1",36,20,24,126,22,514,227,0,0,0,0,64,7,35,106,1,6,0,0,12,10,4,24,19,36,127,48,61,30,99,16,6,40,995,7,20,4,106,169,64,29
"CTBP1-AS",309,395,395,299,574,0,2,0,4,0,1,411,0,0,0,0,0,0,0,1,4,10,6,2,0,5,7,12,18,4,1,69082,5,4,3,3,0,5,34,0,0
"CTBP1-AS2",17,77,6,5,3,62,313,1,0,0,9,3,6,18,1,0,1,0,0,2,13,3,4,28,7,3,27,2,0,1,0,0,0,6,4,243,29,34,0,7,8
"CTBP2",314,62,94,77,237,0,52,0,0,1,0,291,2,5,5,1,1,0,2,45,104,202,61,182,922,17,73,92,257,90,268,54,203,68,60,54,1,22,12,4,56
"CTBS",7,4,12,48,4,8,6,8,0,0,0,8,62,34,59,0,0,2,0,1,0,2,4,1,1,2,358,2,6,1,0,0,1,2,2,0,8,2,1,0,11
"CTC-338M12.4",7,1,2,5,0,0,0,0,0,0,0,1,1,6,1,0,0,0,0,1,1,0,0,0,4,0,0,4,0,26,0,1,0,0,0,0,0,3,0,0,0
"CTC-436P18.1",87,5,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0,85,0,0,0,0,0,0
"CTC1",238,207,137,72,91,56,0,3,14,1808,12359,38,1,5,12,3,3,0,2138,0,145,155,26,31,21,2,8,317,15,153,0,730,38,25,18,108,60,93,36,3,26
"CTCF",1781,25,118,7,22,48,9311,0,0,2,1514,90,28,238,120,21,57,1,15,0,130,9,3,0,9,28,60,10,6,2,57,215,17,39,1562,11,36,120,9856,285,377
"CTCFL",43,10,81,247,35,4,0,0,2,0,0,88,0,0,0,1,0,0,0,1,31,1,27,30,582,35,54,9,18,20,3,1,80,2,1,0,0,1,7,5,0
"CTD-2151A2.1",0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,0,0,54,0,0,1,0,0,0,0,0,0,0
"CTD-2194D22.4",7,22,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0
"CTD-2201E9.1",0,0,1,15,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,162,0,0,2,0,0,0,0,13,3,0,5,0,0,0,0,2,0,0,0,7,0
"CTD-2201I18.1",7,3,1,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,85,1,2,1,1,4,5,3,0,0,0,2,0,0,0,0,0,3,1,15
"CTD-2270F17.1",0,60,0,1,7,1,0,0,0,2,0,0,0,0,0,0,0,0,0,8,1,7,46,790,88,1,3,0,15,0,1,155,1103,0,1,0,0,0,1,1,0
"CTD-2297D10.2",4,53,3,15,5,0,0,0,0,0,0,230,0,0,0,0,0,1,0,0,2,1,3,1,1,12,1,5,3,1,0,2,2,0,0,0,0,0,0,0,0
"CTD-2350J17.1",6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CTD-3080P12.3",7,5,4,109,1,0,2,0,0,0,0,95,0,0,0,0,0,0,0,1,1,0,0,0,12,2,5,1,1100,0,19,0,2,0,0,0,0,0,0,0,0
"CTDNEP1",18,10,15,2599,21,1146,31,0,0,0,13,7,12,30,12,3,42820,0,0,2,11,3,163,47,2,4,10,5,23,11,7,3,34,8,8,22,9,38,29,730,89
"CTDP1",46,40,4757,574,83,26,24,0,3,0,0,456,6,9,11,0,10,0,14,1,3302,10,212,23,216,31,60,75,22,3490,20,12,82,40,258,53,13,36,109,20,18
"CTDSP1",6162,120,9,65,33,156,48,0,162,1,56,23,2,21,6,0,6,0,16,3,6,74,8,1,129,24,7,11,93,134,14,30,19,42,19,78,1,68,162,18,26
"CTDSP2",31,7,38,55,42,341,748,0,0,6,63,23,11,56,11212,67,13649,0,3,28,22,2,218,6,5,2,26,17,10,10,3,2,174,32,46,12,60,291,325,1806,165
"CTDSPL",27,18,10,5,31,0,0,0,0,0,7,5,1,1,2,0,1,0,2,33,427,8,0,19,41,11,13,13,22,116,102,58,1,0,8,9,2,0,0,0,5
"CTDSPL2",4,8,1,3,129,0,3417,1,605,8,104,0,24,131,60,2,4,0,0,1,7,10,7,302,5,65,8,15,6,11,0,1,5,9,17,9,131,107,108,88,600
"CTF1",20,26,61,981,30,0,0,0,0,0,0,6,0,0,0,0,0,1,0,2,6,4,32,0,6,7,7,4,5,35,1,3,15,1,4,5,0,2,1,0,3
"CTGF",31,6,59,53,11,5759,1,0,0,0,0,5,16,36,0,0,0,0,0,0,6,109,4,71,83,454,17,55,70,1601,6,6,2,34,3,10,3,0,0,0,216
"CTH",2,0,605,8,3,7,124,0,0,0,0,0,7,1,8,0,0,0,0,251,7,7,366,29,10,202,6,1,2,48,21,1,12,2,3,11,513,8,1,0,9
"CTHRC1",28,37,16,5,112,0,0,0,0,0,0,84,0,0,2,0,0,0,0,1,9,2,277,25,32,42,2,107,1,8,39,12,2,28,1,40,0,0,3,6,24
"CTIF",78,36,97,79,1162,163,3,0,0,0,0,93,0,0,0,0,0,0,0,39,194,98,122,68,40,628,22,104,768,353,82,22,12,143,57,120,0,1,11,0,2
"CTLA4",0,1,9,0,5,8,871,3,15,431,79,4,52,306,450,942,37,1347,18,6,540,1,2,0,1,2,88,0,0,10,0,0,23,4,1,4,8,0,13,39,32
"CTNNA1",10,2,73,51,11,53,43,3,5,0,92,8,62,37,36,15,34,11,218,1,2,3,1986,7,2,75,12,53,27,133,3,3,1,21,0,4,17,21,974,456,318
"CTNNA2",33,2,6,28,30,1,4,0,1,0,0,8,0,0,0,0,0,1,2,10,31,11,4,16,16,29,3,8,40,7,10,1,2,1,2,5,0,1,0,598,1
"CTNNA3",36,6,33,15,19,1,0,0,0,0,0,40,0,1,0,0,7,0,0,23,11,25,390,24,2,8,2,21,15,11,404,6,0,305,1,14,0,7,0,458,0
"CTNNAL1",17,3,3,6,3,3,7,1,0,0,11,0,39,87,82,0,0,0,0,14,3,5,4,4,10,22,12,8,3,7,1,5,41,2,14,223,22,14,14,10,439
"CTNNB1",98,0,2,28,79,5,92,0,1,0,4,8,159,117,48,926,236,85,26,0,5,2,3,1,1,4,2,11,7,141,2,72,5,26,9,16,16,61,114,47,305
"CTNNBIP1",14,99,14,8,89,16,0,0,0,0,0,68,8,0,6,0,4,0,0,2321,7,2,7,4,599,7,28,17,10,421,895,0,1,5,0,11,0,0,2,0,0
"CTNNBL1",33,12,17,73,19,7,5,0,0,0,5,16,4,9,8,0,0,0,0,27,9,117,136,2,33,126,2,9,8,124,15,16,4,8,3,38,11,4,2781,12,90
"CTNND1",0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"CTNND2",82,583,28,49,8361,0,10,0,2,0,0,17,0,1,0,0,0,0,4,16,36,275,33,86,12,46,22,51,85,13,11,5,24,73,2,37,0,1,0,108,0
"CTNS",53,38,11,21,25,1,15,0,0,0,0,75,3,10,12,0,1,0,0,50,16,36,125,2,156,19,22,19,168,6,62,8,2,7,2,6,3,1,4,4,15
"CTPS1",5,8,0,5,0,1,106,0,32,2,0,7,3,21,10,0,0,0,0,0,1308,14,23,0,1,4,8,2,2,5,1,1,50,0,4,1,2,47,17,13,17
"CTPS2",66,48,471,201,26,0,0,0,0,1,0,12,0,3,1,0,0,0,0,155,39,296,327,5,2,2,23,529,0,32,2,0,1,1,7,4,1,0,1,0,0
"CTR9",20,5,12,71,14,30,138,15,6,129,1361,15,155,245,461,112,135,13307,653,27,2,1,222,13,10,11,74,8,374,271,36,1,134,331,58,7,79,135,227,106,1719
"CTRB1",4,0,0,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,0,1,5,4,1,2,0,3,1,0,0,0,0,3,0,0,0,0,0
"CTRB2",3,4,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,21,0,0,0,0,0,0,0,1
"CTRC",1,1,1,3,5,2,1,144,0,0,0,2,0,3,0,0,0,0,0,5,15,1,15,1,1,1,12,18,181,1,1,0,3,7,1,1,0,10,89,11,6
"CTRL",3,9,0,5,1,0,4,0,0,0,0,10,0,2,0,0,12,0,0,0,0,1,0,0,1,26,1,1,1,144,0,1,118,0,0,0,1,10,9,9,0
"CTSA",78,26,2,113,43,64178,261,0,0,1,19939,324,39,40,32,0,4,1,0,29817,4,25,128,50,6,6,43,3,3,3,5,1,1,2,4,6,1,22,44,0,46
"CTSB",71,4,148,17,6,593,456,226,18,1,1220,13,806,154,91,1,1235,7,0,388,246,14,17,1,3,0,312,12,3,1547,106,2,34,8,57,44,550,7922,506,839,1748
"CTSC",8,3,4,18,261,117,0,0,0,3,5,114,200,258,143,3,16,2,0,5,6907,3,7,300,9,3,32,4,7,36,1,2,3,22,12,12,278,74,19,131,43
