,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Her2+ IDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-S11-32228_,,,,,,,,,,,,M-S11-32228_1,,,,,,,,,,,,M-S11-32228_3,,,,,,,,,,
,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel),,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel),,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel)
,1,1,3248,2035,1033,1,1,1,3248,2035,0,,1,1,2016,105,1052,1,1,1,2016,105,0,,1,4,3432,222,210,4,1,1,3432,222,0
,1,1,3535,2024,941,1,1,1,3535,2024,0,,1,1,234,2532,410,1,1,1,234,2532,0,,1,4,3465,225,217,4,1,1,3465,225,0
,1,1,3024,1863,1229,1,1,1,3024,1863,0,,1,1,234,2499,793,1,1,1,234,2499,0,,1,4,2853,2316,217,4,1,1,2853,2316,0
,1,1,2904,1824,369,1,1,1,2904,1824,0,,1,1,129,2418,558,1,1,1,129,2418,0,,1,4,2979,2343,227,4,1,1,2979,2343,0
,1,1,3287,1626,910,1,1,1,3287,1626,0,,1,1,207,2316,221,1,1,1,207,2316,0,,2,3,318,2463,213,3,1,1,318,2463,0
,1,1,3331,1626,488,1,1,1,3331,1626,0,,1,1,225,2280,506,1,1,1,225,2280,0,,2,3,405,2361,202,3,1,1,405,2361,0
,1,1,3292,1587,748,1,1,1,3292,1587,0,,1,1,264,2307,249,1,1,1,264,2307,0,,2,3,498,2484,217,3,1,1,498,2484,0
,1,1,3342,1565,645,1,1,1,3342,1565,0,,1,1,273,2289,677,1,1,1,273,2289,0,,2,3,651,2343,205,3,1,1,651,2343,0
,1,1,3252,1578,719,1,1,1,3252,1578,0,,1,1,294,2310,605,1,1,1,294,2310,0,,2,3,711,2319,215,3,1,1,711,2319,0
,1,1,3189,1602,1037,1,1,1,3189,1602,0,,1,1,285,1749,578,1,1,1,285,1749,0,,2,3,408,1572,220,3,1,1,408,1572,0
,1,1,3152,1628,261,1,1,1,3152,1628,0,,1,1,297,1770,651,1,1,1,297,1770,0,,2,3,444,1470,205,3,1,1,444,1470,0
,1,1,3143,1650,430,1,1,1,3143,1650,0,,1,1,99,1341,549,1,1,1,99,1341,0,,2,3,435,1422,209,3,1,1,435,1422,0
,1,1,3100,1683,534,1,1,1,3100,1683,0,,1,1,96,1242,268,1,1,1,96,1242,0,,2,3,120,1128,250,3,1,1,120,1128,0
,1,1,2673,1635,700,1,1,1,2673,1635,0,,1,1,309,1377,576,1,1,1,309,1377,0,,2,3,57,1122,207,3,1,1,57,1122,0
,1,1,3274,1423,832,1,1,1,3274,1423,0,,1,2,2868,147,208,2,1,1,2868,147,0,,2,3,114,1041,203,3,1,1,114,1041,0
,1,1,3217,1421,497,1,1,1,3217,1421,0,,1,2,3078,78,208,2,1,1,3078,78,0,,2,3,192,999,218,3,1,1,192,999,0
,1,1,3398,1299,597,1,1,1,3398,1299,0,,1,2,2982,96,206,2,1,1,2982,96,0,,2,3,264,864,227,3,1,1,264,864,0
,1,1,3531,1286,626,1,1,1,3531,1286,0,,1,2,3177,237,208,2,1,1,3177,237,0,,2,3,138,828,208,3,1,1,138,828,0
,1,1,3213,1055,233,1,1,1,3213,1055,0,,1,2,3111,315,209,2,1,1,3111,315,0,,2,3,447,828,241,3,1,1,447,828,0
,1,1,3106,1193,888,1,1,1,3106,1193,0,,1,2,3072,351,213,2,1,1,3072,351,0,,2,3,528,762,214,3,1,1,528,762,0
,1,1,2945,1243,648,1,1,1,2945,1243,0,,1,2,3021,333,206,2,1,1,3021,333,0,,2,3,558,813,208,3,1,1,558,813,0
,1,1,2699,381,486,1,1,1,2699,381,0,,1,2,3063,279,206,2,1,1,3063,279,0,,2,3,612,798,206,3,1,1,612,798,0
,1,1,2664,370,728,1,1,1,2664,370,0,,1,2,2859,384,212,2,1,1,2859,384,0,,2,3,576,696,206,3,1,1,576,696,0
,1,1,718,711,678,1,1,1,718,711,0,,1,2,2904,444,211,2,1,1,2904,444,0,,2,3,654,687,229,3,1,1,654,687,0
,1,1,596,1055,718,1,1,1,596,1055,0,,1,2,2949,435,208,2,1,1,2949,435,0,,2,3,513,702,228,3,1,1,513,702,0
,1,1,657,1069,645,1,1,1,657,1069,0,,1,2,2559,423,210,2,1,1,2559,423,0,,2,3,513,654,224,3,1,1,513,654,0
,1,1,648,1236,791,1,1,1,648,1236,0,,1,2,2463,438,218,2,1,1,2463,438,0,,2,3,672,645,258,3,1,1,672,645,0
,1,1,581,1273,934,1,1,1,581,1273,0,,1,2,2613,507,208,2,1,1,2613,507,0,,2,3,720,636,218,3,1,1,720,636,0
,1,1,574,1406,628,1,1,1,574,1406,0,,1,2,2667,498,209,2,1,1,2667,498,0,,2,3,642,597,233,3,1,1,642,597,0
,1,2,918,714,212,2,1,1,918,714,0,,1,2,2712,489,213,2,1,1,2712,489,0,,2,3,603,525,203,3,1,1,603,525,0
,1,2,95,265,206,2,1,1,95,265,0,,1,2,2715,534,208,2,1,1,2715,534,0,,2,3,561,540,201,3,1,1,561,540,0
,1,2,176,1362,211,2,1,1,176,1362,0,,1,2,2766,522,209,2,1,1,2766,522,0,,2,3,462,510,242,3,1,1,462,510,0
,1,2,241,1371,210,2,1,1,241,1371,0,,1,2,2706,678,211,2,1,1,2706,678,0,,2,3,504,504,240,3,1,1,504,504,0
,1,2,2821,1761,211,2,1,1,2821,1761,0,,1,2,3054,534,212,2,1,1,3054,534,0,,2,3,534,462,211,3,1,1,534,462,0
,1,3,96,192,205,3,1,1,96,192,0,,1,2,3036,579,213,2,1,1,3036,579,0,,2,3,561,423,232,3,1,1,561,423,0
,1,3,111,126,216,3,1,1,111,126,0,,1,2,2997,615,210,2,1,1,2997,615,0,,2,3,600,384,213,3,1,1,600,384,0
,1,3,414,51,212,3,1,1,414,51,0,,1,2,3024,651,207,2,1,1,3024,651,0,,2,3,339,378,227,3,1,1,339,378,0
,1,3,462,66,215,3,1,1,462,66,0,,1,2,3126,732,210,2,1,1,3126,732,0,,2,3,69,231,215,3,1,1,69,231,0
,1,3,498,45,209,3,1,1,498,45,0,,1,2,3078,756,208,2,1,1,3078,756,0,,2,3,108,180,211,3,1,1,108,180,0
,1,3,618,51,233,3,1,1,618,51,0,,1,2,3258,768,210,2,1,1,3258,768,0,,2,3,297,54,212,3,1,1,297,54,0
,1,3,573,21,236,3,1,1,573,21,0,,1,2,2982,756,207,2,1,1,2982,756,0,,2,3,534,129,242,3,1,1,534,129,0
,1,3,501,117,229,3,1,1,501,117,0,,1,2,2634,840,213,2,1,1,2634,840,0,,2,3,579,135,209,3,1,1,579,135,0
,1,3,276,297,210,3,1,1,276,297,0,,1,2,2835,1224,209,2,1,1,2835,1224,0,,2,3,582,234,231,3,1,1,582,234,0
,1,3,177,336,203,3,1,1,177,336,0,,1,2,2844,1254,213,2,1,1,2844,1254,0,,2,3,630,225,221,3,1,1,630,225,0
,1,3,1961,278,209,3,1,1,1961,278,0,,1,2,2613,1077,204,2,1,1,2613,1077,0,,2,3,657,279,245,3,1,1,657,279,0
,1,3,2543,557,213,3,1,1,2543,557,0,,1,2,552,606,208,2,1,1,552,606,0,,2,3,708,234,223,3,1,1,708,234,0
,1,3,2590,570,204,3,1,1,2590,570,0,,1,2,585,606,208,2,1,1,585,606,0,,2,3,738,162,200,3,1,1,738,162,0
,1,3,2540,714,223,3,1,1,2540,714,0,,1,2,522,657,218,2,1,1,522,657,0,,2,3,804,390,213,3,1,1,804,390,0
,1,3,2484,622,238,3,1,1,2484,622,0,,1,2,510,642,213,2,1,1,510,642,0,,2,3,858,360,216,3,1,1,858,360,0
,1,3,2915,920,261,3,1,1,2915,920,0,,1,2,879,1287,205,2,1,1,879,1287,0,,2,3,960,348,232,3,1,1,960,348,0
,1,3,2845,1386,235,3,1,1,2845,1386,0,,1,2,564,177,211,2,1,1,564,177,0,,2,3,903,417,210,3,1,1,903,417,0
,1,3,2832,1408,227,3,1,1,2832,1408,0,,1,2,594,198,210,2,1,1,594,198,0,,2,3,882,450,235,3,1,1,882,450,0
,1,3,3157,1069,216,3,1,1,3157,1069,0,,1,2,744,258,214,2,1,1,744,258,0,,2,3,900,492,209,3,1,1,900,492,0
,1,3,3069,1073,206,3,1,1,3069,1073,0,,1,2,639,321,208,2,1,1,639,321,0,,2,3,774,498,199,3,1,1,774,498,0
,1,3,2301,616,212,3,1,1,2301,616,0,,1,2,1410,177,217,2,1,1,1410,177,0,,2,3,1005,474,216,3,1,1,1005,474,0
,1,3,973,441,208,3,1,1,973,441,0,,1,2,2430,735,207,2,1,1,2430,735,0,,2,3,1050,468,208,3,1,1,1050,468,0
,1,3,973,402,212,3,1,1,973,402,0,,2,2,2856,81,214,2,1,1,2856,81,0,,2,3,1056,405,213,3,1,1,1056,405,0
,1,3,875,381,215,3,1,1,875,381,0,,2,2,2769,105,212,2,1,1,2769,105,0,,2,3,1104,495,208,3,1,1,1104,495,0
,1,3,844,411,210,3,1,1,844,411,0,,2,2,2724,159,210,2,1,1,2724,159,0,,2,3,1107,558,240,3,1,1,1107,558,0
,1,3,818,372,237,3,1,1,818,372,0,,2,2,2778,165,208,2,1,1,2778,165,0,,2,3,1218,507,205,3,1,1,1218,507,0
,1,3,753,339,205,3,1,1,753,339,0,,2,2,2625,180,199,2,1,1,2625,180,0,,2,3,1056,237,237,3,1,1,1056,237,0
,1,4,576,478,224,4,1,1,576,478,0,,2,2,2571,216,207,2,1,1,2571,216,0,,2,3,1179,123,239,3,1,1,1179,123,0
